Filename,Tag,Purpose,Section,Usage
Entrancewalking moment (bride).jpeg,hero-bride,Hero section banner,Hero,Main header image
Group shot (aso-ebi queens together) (1).jpeg,gallery-aso-ebi,Group showcase,Gallery,Aso-Ebi collection display
Groom & bride moment (Nigerian traditional wedding) (1).jpeg,gallery-bride,Wedding moment,Gallery,The Moment collection
Beading close-up.jpeg,craft-beading,Detail work,Gallery,Crafted to Perfection showcase
Lace texture detail.jpeg,craft-material,Fabric detail,Craft Section,Hand-Selected Lace card
Aso-oke weaving close-up.jpeg,craft-material,Fabric detail,Craft Section,Aso-Oke Weaving card
Fabric drape & movement close-up.jpeg,craft-material,Fabric detail,Craft Section,Luxe Silk card
Beading close-up  2.jpeg,craft-embellishment,Detail work,Craft Section,Intentional Beading card
A bride in a stunning emerald green gele (headwrap) with gold beading.jpeg,collection-bride,Bridal collection,Collections,The Bride collection
Group shot (aso-ebi queens together) (2).jpeg,collection-aso-ebi,Group collection,Collections,Aso-Ebi Queens collection
Mother of occasion (dignified pose).jpeg,collection-mother,Family collection,Collections,Mother of the Occasion collection
Owambe celebration moment (1).jpeg,collection-gala,Event collection,Collections,Gala & Events collection
Woman in quiet confidence moment.jpeg,hero-overlay,Confidence showcase,Overlay Section,Full-width confidence image
Designer hands at work.jpeg,bts-craftsmanship,Behind scenes,Behind-the-Scenes,Studio work showcase
Studio workspace 1.png,bts-studio,Behind scenes,Behind-the-Scenes,Studio environment
Hand-stitchingembroidery detail 2 (2).jpeg,bts-detail,Behind scenes,Behind-the-Scenes,Embroidery detail work
Hand-stitchingembroidery detail.jpeg,craft-embroidery,Detail work,Craft Section,Embroidery detail
Groom & bride moment (Nigerian traditional wedding) (2).jpeg,gallery-bride,Wedding moment,Gallery,Additional wedding moment
Groom & bride moment (Nigerian traditional wedding) (3).jpeg,gallery-bride,Wedding moment,Gallery,Additional wedding moment
Group shot (aso-ebi queens together) (3).jpeg,gallery-aso-ebi,Group showcase,Gallery,Additional aso-ebi group
